HMM,SSD,OGS,Scores
-2.5502,0.458,0.3097,1
-2.4916,0.398,0.8671,1
-2.4591,0.381,0.2878,1
-2.3937,0.387,0.3369,1
-2.5805,0.412,0.3344,1
-2.4426,0.944,0.2908,1
-2.5148,0.989,0.2814,1
-2.4417,0.402,0.3266,1
-2.4508,0.49,0.3223,1
-12.4561,0.479,0.7914,1
-2.5332,0.491,0.4302,1
-2.4849,0.488,0.3293,1
-2.6171,0.455,0.8409,1
-2.515,0.432,0.3612,1
-14.4404,0.408,0.2755,1
-2.5892,0.425,0.3998,1
-2.4532,0.421,0.3486,1
-2.4831,1.397,0.355,1
-2.5505,0.368,0.3432,1
-2.4479,0.426,0.3346,1
-2.4743,0.383,0.3506,1
-2.5167,0.466,0.3861,1
-2.5318,0.458,0.3588,1
-2.3913,0.437,0.3407,1
-2.6346,0.436,0.4723,1
-2.5553,0.46,0.3527,1
-2.5426,0.477,0.3269,1
-2.3792,0.431,0.3136,1
-13.5807,1.408,0.326,1
-2.5571,0.429,0.3729,1
-2.5179,0.355,0.3303,1
-2.5161,0.398,0.3033,1
-2.6699,0.478,0.395,1
-2.4019,0.397,0.336,1
-2.4906,0.447,0.3694,1
-2.5358,0.929,0.9425,1
-12.5585,0.419,0.3946,1
-2.3902,0.478,0.3299,1
-2.5675,0.416,0.3566,1
-2.4462,0.4,0.3332,1
-20.1718,0.93,0.6909,0
-13.8231,0.854,0.7998,0
-12.2302,0.928,0.7324,0
-23.7316,0.924,0.7543,0
-9.4449,0.801,0.6843,0
-33.5896,0.917,0.7021,0
-148.4577,0.908,0.8879,0
-11.968,0.916,0.7166,0
-8.0129,0.93,0.683,0
-14.7196,0.979,0.7142,0
-12.9691,0.927,0.6771,0
-35.665,0.882,0.6901,0
-14.8911,0.972,0.8415,0
-33.0356,0.865,0.7811,0
-14.0974,0.827,0.6921,0
-12.8733,0.953,0.7454,0
-16.8113,0.87,0.6873,0
-30.8435,0.915,0.8512,0
-9.0773,0.938,0.7999,0
-22.3555,0.848,0.7783,0
-21.6937,0.858,0.7068,0
-14.2945,0.906,0.6834,0
-21.9569,0.999,0.713,0
-27.6297,0.863,0.7892,0
-19.0987,0.927,0.7036,0
-22.5225,0.94,0.7543,0
-31.2162,0.908,0.7014,0
-148.9674,0.993,0.8182,0
-42.8055,1.036,0.9166,0
-51.2141,0.949,0.7801,0
-21.3982,1.002,0.8206,0
-17.8242,0.992,0.8215,0
-169.1587,1.018,0.9209,0
-45.4216,1.059,0.8323,0
-22.7345,0.858,0.7568,0
-15.0389,0.857,0.6616,0
-13.6486,0.851,0.6433,0
-14.1127,0.848,0.6434,0
-15.7107,0.875,0.6644,0
-33.7041,1.037,0.7858,0
